rank,name,category,n_epochs,n_addresses,total_allocated_eth,total_matched_eth,total_eth,avg_eth_per_epoch,epochs_list,name_variants
102,EcosynthesisX,Climate & Regenerative,2,1,0.2491,3.0874,3.3365,1.6682,"4,5",EcoSynthesisX | EcosynthesisX
103,DeFiScan,Developer Tools,1,1,0.0899,3.0827,3.1726,3.1726,8,DeFiScan
104,FlowState,Community & Coordination,1,1,0.0384,2.9998,3.0381,3.0381,6,FlowState
105,Bankless Academy,Education & Onboarding,1,1,0.0532,2.7344,2.7876,2.7876,6,Bankless Academy
106,Circuitscan,Developer Tools,1,1,0.0975,2.6588,2.7563,2.7563,8,Circuitscan
107,Gardens,Community & Coordination,3,1,0.0937,2.599,2.6927,0.8976,"3,4,5",Gardens
108,EVMavericks Doots Podcast,Media & Storytelling,1,1,0.0352,2.621,2.6562,2.6562,6,EVMavericks Doots Podcast
109,Web3Sec,Security & Privacy,1,1,0.1075,2.4893,2.5968,2.5968,9,Web3Sec
110,MetaGov,Research & Analytics,2,1,0.0476,2.4463,2.4938,1.2469,"3,5",MetaGov
111,DeSci LATAM,Education & Onboarding,2,1,0.0441,2.4385,2.4825,1.2413,"4,5",DeSci LATAM
112,Citizen Wallet,Community & Coordination,1,1,0.0622,2.388,2.4502,2.4502,6,Citizen Wallet
113,Proof of Intelligence,Research & Analytics,1,1,0.0455,2.3642,2.4097,2.4097,9,Proof of Intelligence
114,Ethereum in Plain English,Media & Storytelling,1,1,0.0475,2.3611,2.4086,2.4086,9,Ethereum in Plain English
115,Ethereum Explained,Media & Storytelling,1,1,0.0379,2.0147,2.0527,2.0527,9,Ethereum Explained
116,Ateh Ugoji,Media & Storytelling,1,1,0.0468,1.8659,1.9127,1.9127,9,Ateh Ugoji
117,BundleBear,Developer Tools,1,1,0.06,1.7467,1.8067,1.8067,8,BundleBear
118,OrbitDB,Developer Tools,1,1,0.0755,1.5839,1.6594,1.6594,8,OrbitDB
119,Samba,Community & Coordination,1,1,0.079,1.5671,1.6461,1.6461,8,Samba
120,ZuCity Japan,Community & Coordination,1,1,0.0404,1.5628,1.6032,1.6032,6,ZuCity Japan
121,ETH in a minute,Media & Storytelling,1,1,0.0169,1.4146,1.4315,1.4315,9,ETH in a minute
122,Gravity DAO,Community & Coordination,1,1,0.0268,1.2461,1.2729,1.2729,5,Gravity DAO
123,D2PFuzz,Developer Tools,1,1,0.0763,1.196,1.2723,1.2723,8,D2PFuzz
124,Gili Eco Trust for waste solutions,Climate & Regenerative,1,1,0.0818,1.1193,1.2011,1.2011,12,Gili Eco Trust for waste solutions
125,The Ethereum Creator Club (TECC) / The Ethereum Film Festival (TEFF),Media & Storytelling,1,1,0.0317,1.0663,1.0981,1.0981,9,The Ethereum Creator Club (TECC) / The Ethereum Film Festival (TEFF)
126,WebHash,Community & Coordination,1,1,0.0198,0.9795,0.9992,0.9992,6,WebHash
127,Patchara,Media & Storytelling,1,1,0.0315,0.9469,0.9784,0.9784,9,Patchara
128,CastaCrypto,Media & Storytelling,1,1,0.0276,0.868,0.8956,0.8956,9,CastaCrypto
129,AKINDO,Community & Coordination,1,1,0.0252,0.642,0.6672,0.6672,9,AKINDO
130,Abundance Protocol,Public Goods Funding,1,1,0.0243,0.604,0.6283,0.6283,4,Abundance Protocol
131,Trustful,Public Goods Funding,1,1,0.0264,0.433,0.4594,0.4594,4,Trustful
132,Ephemery Testnet - Client Implementation,Ethereum Infrastructure,1,1,0.0113,0.3297,0.341,0.341,8,Ephemery Testnet - Client Implementation
133,Offbrand Crypto (by Full Value Dan),Media & Storytelling,1,1,0.0046,0.2196,0.2242,0.2242,9,Offbrand Crypto (by Full Value Dan)
134,Boring Security,Security & Privacy,1,1,0.1337,0.0,0.1337,0.1337,3,Boring Security
135,ReFi DAO,Climate & Regenerative,1,1,0.0144,0.0,0.0144,0.0144,3,ReFi DAO
136,StateOfEth,Research & Analytics,1,1,0.0024,0.0,0.0024,0.0024,3,StateOfEth
137,ETH Daily,Media & Storytelling,1,1,0.0013,0.0,0.0013,0.0013,3,ETH Daily
