date,open,high,low,close,volume
2025-07-15,0.13690000,0.14750000,0.13200000,0.14660000,42408508.10000000
2025-07-16,0.14660000,0.15070000,0.13970000,0.14340000,67929935.77000000
2025-07-17,0.14350000,0.14790000,0.13520000,0.14060000,79480364.81000000
2025-07-18,0.14070000,0.15580000,0.13480000,0.13830000,90466903.72000000
2025-07-19,0.13840000,0.14370000,0.13360000,0.14120000,42944712.26000000
2025-07-20,0.14130000,0.15370000,0.13940000,0.14760000,72641828.31000000
2025-07-21,0.14760000,0.15780000,0.14420000,0.15230000,79837189.80000000
2025-07-22,0.15240000,0.15430000,0.13970000,0.14840000,79338898.66000000
2025-07-23,0.14850000,0.14860000,0.12600000,0.13170000,78522272.80000000
2025-07-24,0.13170000,0.13360000,0.12090000,0.12660000,59974299.70000000
2025-07-25,0.12680000,0.13320000,0.12290000,0.13250000,46535337.34000000
2025-07-26,0.13240000,0.13440000,0.13110000,0.13180000,20841192.59000000
2025-07-27,0.13190000,0.13860000,0.13050000,0.13770000,30020048.74000000
2025-07-28,0.13770000,0.14200000,0.12750000,0.12870000,53453784.87000000
2025-07-29,0.12860000,0.13490000,0.12410000,0.12740000,47313823.08000000
2025-07-30,0.12740000,0.12800000,0.11610000,0.12370000,43771269.21000000
2025-07-31,0.12380000,0.12750000,0.11530000,0.11590000,33435347.67000000
2025-08-01,0.11590000,0.11680000,0.10990000,0.11320000,67267031.40000000
2025-08-02,0.11320000,0.11560000,0.10790000,0.11050000,33571362.16000000
2025-08-03,0.11050000,0.11750000,0.10890000,0.11620000,21951666.22000000
2025-08-04,0.11630000,0.12170000,0.11590000,0.12100000,24758204.33000000
2025-08-05,0.12100000,0.12110000,0.11250000,0.11590000,28631542.57000000
2025-08-06,0.11580000,0.11940000,0.11190000,0.11730000,28779148.24000000
2025-08-07,0.11740000,0.12700000,0.11700000,0.12640000,43477876.48000000
2025-08-08,0.12650000,0.13140000,0.12470000,0.12960000,45911888.15000000
2025-08-09,0.12960000,0.14170000,0.12910000,0.13780000,37843365.96000000
2025-08-10,0.13780000,0.14060000,0.13160000,0.13650000,38033399.74000000
2025-08-11,0.13650000,0.14160000,0.12600000,0.12800000,44368733.68000000
2025-08-12,0.12800000,0.14060000,0.12570000,0.13960000,59634953.68000000
2025-08-13,0.13960000,0.15240000,0.13670000,0.15040000,111396169.63000000
2025-08-14,0.15050000,0.15110000,0.12850000,0.13160000,109987365.48000000
2025-08-15,0.13150000,0.13600000,0.12550000,0.13190000,48705702.06000000
2025-08-16,0.13190000,0.13960000,0.13170000,0.13740000,36183569.07000000
2025-08-17,0.13750000,0.14640000,0.13660000,0.13970000,48696427.86000000
2025-08-18,0.13980000,0.14030000,0.13120000,0.13350000,47587515.54000000
2025-08-19,0.13350000,0.13600000,0.12910000,0.12940000,43994739.41000000
2025-08-20,0.12950000,0.13930000,0.12800000,0.13870000,38176037.68000000
2025-08-21,0.13880000,0.14020000,0.12780000,0.12860000,50762918.83000000
2025-08-22,0.12860000,0.14310000,0.12200000,0.14120000,85290275.05000000
2025-08-23,0.14120000,0.14600000,0.13620000,0.14330000,55969176.23000000
2025-08-24,0.14340000,0.14670000,0.13520000,0.13960000,66540203.68000000
2025-08-25,0.13960000,0.14270000,0.12270000,0.12550000,58747626.04000000
2025-08-26,0.12550000,0.13210000,0.12400000,0.13050000,41117242.15000000
2025-08-27,0.13050000,0.13280000,0.12860000,0.12970000,26667304.54000000
2025-08-28,0.12970000,0.13680000,0.12870000,0.13370000,35764682.89000000
2025-08-29,0.13370000,0.13420000,0.12420000,0.12680000,56436963.65000000
2025-08-30,0.12680000,0.12880000,0.12330000,0.12780000,21482216.98000000
2025-08-31,0.12790000,0.13030000,0.12550000,0.12560000,21393529.98000000
2025-09-01,0.12550000,0.12980000,0.11960000,0.12130000,35833787.38000000
2025-09-02,0.12140000,0.12510000,0.12020000,0.12360000,38198106.55000000
2025-09-03,0.12370000,0.12570000,0.12130000,0.12410000,24730898.56000000
2025-09-04,0.12420000,0.12480000,0.11780000,0.11990000,47161310.72000000
2025-09-05,0.11980000,0.12590000,0.11970000,0.12420000,36696286.36000000
2025-09-06,0.12420000,0.12500000,0.12030000,0.12160000,20376494.38000000
2025-09-07,0.12160000,0.12520000,0.12160000,0.12410000,20624950.25000000
2025-09-08,0.12420000,0.12900000,0.12330000,0.12800000,29992955.49000000
2025-09-09,0.12810000,0.13600000,0.12640000,0.13080000,67497102.10000000
2025-09-10,0.13080000,0.13520000,0.12940000,0.13320000,39055877.17000000
2025-09-11,0.13320000,0.13730000,0.13180000,0.13530000,34423173.16000000
2025-09-12,0.13530000,0.13770000,0.13200000,0.13630000,31411729.02000000
2025-09-13,0.13620000,0.14180000,0.13440000,0.13790000,49455010.44000000
2025-09-14,0.13800000,0.13830000,0.13010000,0.13160000,28450804.45000000
2025-09-15,0.13160000,0.14530000,0.12890000,0.13150000,167592954.22000000
2025-09-16,0.13140000,0.13680000,0.12770000,0.13520000,55440735.20000000
2025-09-17,0.13520000,0.13880000,0.13000000,0.13780000,41761139.76000000
2025-09-18,0.13790000,0.14070000,0.13600000,0.13710000,59755819.02000000
2025-09-19,0.13720000,0.13940000,0.12640000,0.12780000,59802851.04000000
2025-09-20,0.12780000,0.13360000,0.12680000,0.12980000,29033460.41000000
2025-09-21,0.12990000,0.13250000,0.12860000,0.12870000,28949293.79000000
2025-09-22,0.12880000,0.12960000,0.10900000,0.11890000,82212817.77000000
2025-09-23,0.11890000,0.12160000,0.11500000,0.11770000,35287578.81000000
2025-09-24,0.11770000,0.12500000,0.11570000,0.12330000,25593388.00000000
2025-09-25,0.12330000,0.12340000,0.11180000,0.11420000,51185381.67000000
